fid,DN,Area-km2
279,684,2.831496427
280,347,4.156723188
281,210,0.007205544
282,209,6.994958358
283,708,0.007205611
284,63,8.493690067
285,346,4.207314141
286,153,4.654168156
287,655,0.864567889
288,656,3.588120516
289,225,6.952411158
290,210,5.316941482
291,226,5.771258102
292,629,4.935534552
293,155,2.586385777
294,685,3.040635669
295,156,2.701827141
296,688,0.007206076
297,198,7.665068628
298,195,3.486847199
299,686,0.007206143
300,694,0.007206143
301,196,5.727129682
302,197,6.217156705
303,193,0.021618537
304,686,0.007206209
305,194,0.007206209
306,207,5.576482435
307,227,0.482796522
308,238,5.856505788
309,194,0.007206276
310,238,0.007206342
311,231,6.97442518
312,250,3.948558573
313,228,0.007206409
314,191,1.066503769
315,250,0.007206542
316,208,2.586953557
317,237,7.435192486
318,689,4.935580418
319,232,8.89151181
320,637,1.037678487
321,756,0.007206675
322,249,2.976001616
323,638,0.007206741
324,690,2.421090855
325,1024,2.255460993
326,692,0.007206808
327,1023,0.007206808
328,1024,0.007206808
329,641,0.007206874
330,1023,0.007206874
331,603,0.353122223
332,607,10.04287581
333,229,5.152287767
334,604,0.086482484
335,630,13.0414854
336,1023,6.838111736
337,205,0.410778386
338,604,0.007207074
339,608,18.76790942
340,687,6.024387388
341,691,1.008921166
342,605,0.064863385
343,606,0.00720714
344,686,6.470840675
345,204,0.007207207
346,206,2.428683719
347,617,4.798878139
348,613,0.360343876
349,240,0.007207273
350,606,0.122523054
351,616,0.007207339
352,618,0.007207339
353,615,1.85215526
354,635,3.350991024
355,192,1.39092657
356,693,0.677449574
357,723,9.366969635
358,724,1.852066641
359,614,0.396414297
360,694,0.958528217
361,639,2.428598981
362,1018,0.007207539
363,638,1.880964154
364,185,1.679139545
365,641,1.571124582
366,186,3.033872442
367,601,1.924126024
368,642,0.007207605
369,705,3.098728982
370,618,5.743645344
371,189,1.801763712
372,602,0.374786498
373,187,0.216225764
374,642,0.086492461
375,646,0.007207672
376,645,0.028830525
377,642,0.007207672
378,640,0.007207672
379,1044,0.007207672
380,633,1.974744927
381,182,13.46394339
382,263,9.324214129
383,188,0.072076773
384,183,0.194604827
385,181,10.17960811
386,645,0.021623124
387,188,0.007207738
388,725,2.652113802
389,341,0.093699606
390,631,0.389209807
391,643,0.043246701
392,251,0.007207805
393,203,9.793897278
394,692,5.952484727
395,264,9.533133857
396,648,0.216228428
397,342,0.043246629
398,184,0.151363746
399,343,4.943343689
400,707,0.007207871
401,708,0.007207871
402,340,0.007207871
403,719,2.320599475
404,706,3.091784022
405,1017,0.144155236
406,228,1.960270495
407,696,0.122532016
408,695,0.209021576
409,648,0.007207938
410,644,0.007207938
411,720,4.77031097
412,707,3.307983696
413,1021,7.695975139
414,634,0.67032042
415,644,0.007208004
416,647,1.304574136
417,270,0.62709015
418,697,0.021624012
419,707,0.129742883
420,632,0.980265982
421,616,1.794703918
422,239,2.508221178
423,640,1.318968101
424,344,5.347406589
425,698,0.064872412
426,745,0.007208137
427,1046,8.381364078
428,703,0.345982886
429,190,2.652375715
430,1016,0.072080536
431,240,0.461301913
432,747,9.006979006
433,721,2.983877287
434,599,1.600002549
435,644,0.583843041
436,704,0.288321885
437,688,5.744187768
438,755,11.68138799
439,716,0.021624719
440,260,0.00720827
441,756,2.890208661
442,748,4.770754865
443,600,0.2739031
444,751,0.634297211
445,726,3.34407987
446,1035,0.382028039
447,708,5.66411654
448,1043,1.506458404
449,339,0.655924735
450,1018,2.529985162
451,340,0.180205063
452,259,0.064875251
453,699,0.389232105
454,750,0.007208469
455,752,0.007208469
456,338,0.007208469
457,340,0.007208469
458,333,0.007208469
459,752,4.56939053
460,749,0.893819846
461,260,0.036042346
462,948,0.007208536
463,257,0.007208536
464,262,1.53523098
465,333,0.014417071
466,336,0.007208536
467,349,4.130014519
468,701,1.874090174
469,334,10.31998131
470,262,0.007208602
471,653,1.35509173
472,1045,3.279507281
473,1036,0.648751284
474,331,0.007208669
475,336,0.043251631
476,722,2.313813777
477,332,0.389250428
478,745,2.630879038
479,337,0.072085689
480,716,0.295550464
481,331,0.021626115
482,744,0.007208735
483,753,1.016393144
484,746,0.749696976
485,1042,2.061464845
486,700,0.944289406
487,1022,6.053773403
488,715,2.328166201
489,236,4.324673506
490,714,0.028835073
491,760,0.007208801
492,741,4.431966119
493,717,0.533413092
494,350,2.011173498
495,646,1.001956023
496,742,3.473590053
497,743,0.05046161
498,713,0.021626495
499,718,0.007208868
500,338,0.237889161
501,739,0.007208934
502,1041,1.902989416
503,335,0.18742841
504,251,1.384001223
505,718,0.641562357
506,739,2.342786564
507,256,0.007209134
508,230,9.210796233
509,744,0.173016194
510,737,0.028836933
511,770,0.007209267
512,233,6.970039663
513,709,1.895865812
514,740,0.663240151
515,731,6.032238113
516,770,0.007209333
517,732,7.560000012
518,711,1.506630915
519,727,2.479878196
520,738,0.021628089
521,735,0.180231519
522,772,0.007209399
523,712,0.007209399
524,757,5.896464541
525,771,0.237904022
526,333,6.847350266
527,269,3.517853005
528,733,0.461401023
529,774,0.007209532
530,729,2.710531416
531,736,0.122561684
532,759,0.007209599
533,235,6.984669213
534,754,3.19360597
535,261,2.148238344
536,252,3.683646131
537,774,0.050467794
538,636,7.993378555
539,759,1.622066665
540,258,4.894367543
541,179,4.966107122
542,760,1.124652494
543,1055,4.159558478
544,761,0.007209864
545,177,0.007209864
546,204,11.37454287
547,1044,6.329534612
548,750,2.768335015
549,1056,0.007209931
550,253,6.79792355
551,1040,2.443931056
552,180,4.195679663
553,1061,0.057680038
554,710,2.076291801
555,241,4.887775175
556,243,2.22042436
557,257,2.018594781
558,245,0.692152685
559,1175,0.007210196
560,782,0.447012891
561,712,1.715885067
562,597,0.475821092
563,654,5.630171372
564,951,0.129785103
565,728,0.007210329
566,598,1.809416667
567,730,1.506851651
568,1053,0.4686491
569,1175,0.165833201
570,781,0.706581463
571,1050,0.007210396
572,596,0.007210396
573,598,0.007210396
574,1066,7.014287889
575,950,4.952720802
576,254,5.565586869
577,1049,0.591233399
578,1052,0.007210462
579,1050,0.007210462
580,1048,0.007210462
581,596,0.007210462
582,1062,0.605664498
583,952,0.12978753
584,595,0.028841848
585,1054,0.295620375
586,1052,0.007210528
587,1050,0.021631495
588,596,0.007210528
589,1065,3.590186805
590,289,0.007210528
591,702,7.634420156
592,234,5.702333308
593,758,3.424440196
594,1051,0.136998501
595,1047,3.886176737
596,1048,0.007210595
597,289,0.007210595
598,776,1.052677646
599,242,7.368224685
600,328,3.294527282
601,244,2.040213846
602,1063,0.137000878
603,290,0.007210661
604,289,0.007210661
605,329,3.172226399
606,255,1.391579977
607,289,0.007210728
608,290,0.007210728
609,777,0.072107353
610,327,12.29037449
611,175,0.987806078
612,177,0.58405073
613,290,0.021632472
614,289,0.03605397
615,1056,6.128209518
616,775,2.054949945
617,728,4.700862427
618,178,0.807548982
619,1027,0.007210927
620,953,0.418216145
621,1006,0.007210993
622,176,0.58406228
623,941,1.283485949
624,954,1.507033955
625,1026,3.092719259
626,778,0.360544543
627,954,0.00721106
628,1006,0.00721106
629,1006,0.00721106
630,1027,0.028844076
631,1028,0.00721106
632,762,4.160396083
633,1006,0.007211126
634,1005,0.007211126
635,1033,0.021633287
636,326,0.151429993
637,273,0.093743479
638,330,7.267363809
639,1007,0.007211192
640,1028,0.028844636
641,281,2.235178543
642,955,0.295652118
643,282,3.720225707
644,325,1.463832474
645,1038,2.624251835
646,1057,3.093268004
647,763,1.139279265
648,766,0.007211325
649,282,0.007211325
650,272,0.007211325
651,274,0.425454274
652,1176,4.290029643
653,173,0.432663245
654,956,0.108168548
655,1005,0.09374614
656,291,0.014422783
657,949,6.553720519
658,942,0.836469534
659,761,6.518038444
660,765,2.184934478
661,271,0.511993531
662,766,0.007211458
663,1011,0.007211458
664,1175,1.175345863
665,651,5.378617953
666,323,4.448975447
667,1177,0.497569448
668,1034,0.374984555
669,1052,1.413371712
670,1004,0.04326868
671,1009,0.08653619
672,1003,0.050480241
673,1012,0.007211524
674,1011,0.007211524
675,1010,0.216341459
676,1058,1.197027894
677,174,0.201915538
678,945,0.144228209
679,256,4.593134048
680,246,2.01902866
681,1064,4.110285669
682,1025,9.2432675
683,1070,0.007211657
684,171,0.49758938
